Date, Open , High , Low , Close , Adj Close , Volume 
7/8/1991," 1,033.30 "," 1,033.30 "," 1,033.30 "," 1,033.30 "," 1,033.03 ", -   
7/9/1991," 1,005.64 "," 1,005.64 "," 1,005.64 "," 1,005.64 "," 1,005.38 ", -   
7/10/1991, 997.08 , 997.08 , 997.08 , 997.08 , 996.82 , -   
7/11/1991, 990.08 , 990.08 , 990.08 , 990.08 , 989.83 , -   
7/12/1991, 993.37 , 993.37 , 993.37 , 993.37 , 993.11 , -   
7/15/1991, 998.19 , 998.19 , 998.19 , 998.19 , 997.93 , -   
7/16/1991, 995.31 , 995.31 , 995.31 , 995.31 , 995.05 , -   
7/17/1991, 982.26 , 982.26 , 982.26 , 982.26 , 982.01 , -   
7/18/1991, 990.79 , 990.79 , 990.79 , 990.79 , 990.54 , -   
7/19/1991," 1,027.91 "," 1,027.91 "," 1,027.91 "," 1,027.91 "," 1,027.65 ", -   
7/22/1991," 1,027.91 "," 1,027.91 "," 1,027.91 "," 1,027.91 "," 1,027.65 ", -   
7/23/1991," 1,017.91 "," 1,017.91 "," 1,017.91 "," 1,017.91 "," 1,017.65 ", -   
7/24/1991," 1,012.53 "," 1,012.53 "," 1,012.53 "," 1,012.53 "," 1,012.27 ", -   
7/25/1991, 994.87 , 994.87 , 994.87 , 994.87 , 994.61 , -   
7/26/1991, 999.98 , 999.98 , 999.98 , 999.98 , 999.72 , -   
7/29/1991," 1,000.50 "," 1,000.50 "," 1,000.50 "," 1,000.50 "," 1,000.24 ", -   
7/30/1991," 1,024.68 "," 1,024.68 "," 1,024.68 "," 1,024.68 "," 1,024.42 ", -   
7/31/1991," 1,021.80 "," 1,021.80 "," 1,021.80 "," 1,021.80 "," 1,021.54 ", -   
8/1/1991," 1,011.10 "," 1,011.10 "," 1,011.10 "," 1,011.10 "," 1,010.84 ", -   
8/2/1991," 1,016.72 "," 1,016.72 "," 1,016.72 "," 1,016.72 "," 1,016.46 ", -   
8/5/1991," 1,023.47 "," 1,023.47 "," 1,023.47 "," 1,023.47 "," 1,023.21 ", -   
8/6/1991," 1,020.02 "," 1,020.02 "," 1,020.02 "," 1,020.02 "," 1,019.76 ", -   
8/7/1991," 1,015.05 "," 1,015.05 "," 1,015.05 "," 1,015.05 "," 1,014.79 ", -   
8/8/1991, 992.38 , 992.38 , 992.38 , 992.38 , 992.12 , -   
8/9/1991, 977.15 , 977.15 , 977.15 , 977.15 , 976.90 , -   
8/12/1991, 973.41 , 973.41 , 973.41 , 973.41 , 973.16 , -   
8/13/1991, 952.03 , 952.03 , 952.03 , 952.03 , 951.79 , -   
8/14/1991, 938.71 , 938.71 , 938.71 , 938.71 , 938.47 , -   
8/15/1991, 956.82 , 956.82 , 956.82 , 956.82 , 956.57 , -   
8/16/1991, 957.20 , 957.20 , 957.20 , 957.20 , 956.95 , -   
8/19/1991, 951.87 , 951.87 , 951.87 , 951.87 , 951.63 , -   
8/20/1991, 925.39 , 925.39 , 925.39 , 925.39 , 925.15 , -   
8/21/1991, 927.86 , 927.86 , 927.86 , 927.86 , 927.62 , -   
8/22/1991, 963.41 , 963.41 , 963.41 , 963.41 , 963.16 , -   
8/23/1991, 974.47 , 974.47 , 974.47 , 974.47 , 974.22 , -   
8/26/1991, 999.29 , 999.29 , 999.29 , 999.29 , 999.03 , -   
8/27/1991," 1,014.03 "," 1,014.03 "," 1,014.03 "," 1,014.03 "," 1,013.77 ", -   
8/28/1991," 1,029.61 "," 1,029.61 "," 1,029.61 "," 1,029.61 "," 1,029.35 ", -   
8/29/1991," 1,031.54 "," 1,031.54 "," 1,031.54 "," 1,031.54 "," 1,031.27 ", -   
8/30/1991," 1,021.83 "," 1,021.83 "," 1,021.83 "," 1,021.83 "," 1,021.57 ", -   
9/2/1991," 1,022.17 "," 1,022.17 "," 1,022.17 "," 1,022.17 "," 1,021.91 ", -   
9/3/1991," 1,027.12 "," 1,027.12 "," 1,027.12 "," 1,027.12 "," 1,026.86 ", -   
9/4/1991," 1,019.53 "," 1,019.53 "," 1,019.53 "," 1,019.53 "," 1,019.27 ", -   
9/5/1991," 1,019.54 "," 1,019.54 "," 1,019.54 "," 1,019.54 "," 1,019.28 ", -   
9/6/1991," 1,009.59 "," 1,009.59 "," 1,009.59 "," 1,009.59 "," 1,009.33 ", -   
9/9/1991, 965.69 , 965.69 , 965.69 , 965.69 , 965.44 , -   
9/10/1991, 965.69 , 965.69 , 965.69 , 965.69 , 965.44 , -   
9/11/1991, 901.57 , 901.57 , 901.57 , 901.57 , 901.34 , -   
9/12/1991, 905.06 , 905.06 , 905.06 , 905.06 , 904.83 , -   
9/13/1991, 923.05 , 923.05 , 923.05 , 923.05 , 922.81 , -   
9/16/1991, 910.64 , 910.64 , 910.64 , 910.64 , 910.41 , -   
9/17/1991, 912.80 , 912.80 , 912.80 , 912.80 , 912.57 , -   
9/18/1991, 912.41 , 912.41 , 912.41 , 912.41 , 912.18 , -   
9/19/1991, 912.14 , 912.14 , 912.14 , 912.14 , 911.91 , -   
9/20/1991, 910.69 , 910.69 , 910.69 , 910.69 , 910.46 , -   
9/23/1991, 913.65 , 913.65 , 913.65 , 913.65 , 913.42 , -   
9/24/1991, 972.66 , 972.66 , 972.66 , 972.66 , 972.41 , -   
9/25/1991, 973.84 , 973.84 , 973.84 , 973.84 , 973.59 , -   
9/26/1991, 967.27 , 967.27 , 967.27 , 967.27 , 967.02 , -   
9/27/1991, 967.37 , 967.37 , 967.37 , 967.37 , 967.12 , -   
9/30/1991, 943.35 , 943.35 , 943.35 , 943.35 , 943.11 , -   
10/1/1991, 946.69 , 946.69 , 946.69 , 946.69 , 946.45 , -   
10/2/1991, 955.39 , 955.39 , 955.39 , 955.39 , 955.14 , -   
10/3/1991, 965.28 , 965.28 , 965.28 , 965.28 , 965.03 , -   
10/4/1991, 994.35 , 994.35 , 994.35 , 994.35 , 994.09 , -   
10/7/1991," 1,004.69 "," 1,004.69 "," 1,004.69 "," 1,004.69 "," 1,004.43 ", -   
10/8/1991, 990.11 , 990.11 , 990.11 , 990.11 , 989.86 , -   
10/9/1991, 988.66 , 988.66 , 988.66 , 988.66 , 988.41 , -   
10/10/1991, 977.11 , 977.11 , 977.11 , 977.11 , 976.86 , -   
10/11/1991, 985.48 , 985.48 , 985.48 , 985.48 , 985.23 , -   
10/14/1991," 1,016.41 "," 1,016.41 "," 1,016.41 "," 1,016.41 "," 1,016.15 ", -   
10/15/1991," 1,036.15 "," 1,036.15 "," 1,036.15 "," 1,036.15 "," 1,035.88 ", -   
10/16/1991," 1,039.66 "," 1,039.66 "," 1,039.66 "," 1,039.66 "," 1,039.39 ", -   
10/17/1991," 1,025.24 "," 1,025.24 "," 1,025.24 "," 1,025.24 "," 1,024.98 ", -   
10/18/1991," 1,022.85 "," 1,022.85 "," 1,022.85 "," 1,022.85 "," 1,022.59 ", -   
10/21/1991," 1,028.06 "," 1,028.06 "," 1,028.06 "," 1,028.06 "," 1,027.80 ", -   
10/22/1991," 1,018.11 "," 1,018.11 "," 1,018.11 "," 1,018.11 "," 1,017.85 ", -   
10/23/1991," 1,019.62 "," 1,019.62 "," 1,019.62 "," 1,019.62 "," 1,019.36 ", -   
10/24/1991," 1,012.77 "," 1,012.77 "," 1,012.77 "," 1,012.77 "," 1,012.51 ", -   
10/25/1991," 1,011.55 "," 1,011.55 "," 1,011.55 "," 1,011.55 "," 1,011.29 ", -   
10/28/1991," 1,010.50 "," 1,010.50 "," 1,010.50 "," 1,010.50 "," 1,010.24 ", -   
10/29/1991," 1,012.61 "," 1,012.61 "," 1,012.61 "," 1,012.61 "," 1,012.35 ", -   
10/30/1991," 1,024.24 "," 1,024.24 "," 1,024.24 "," 1,024.24 "," 1,023.98 ", -   
10/31/1991," 1,030.80 "," 1,030.80 "," 1,030.80 "," 1,030.80 "," 1,030.54 ", -   
11/1/1991," 1,030.80 "," 1,030.80 "," 1,030.80 "," 1,030.80 "," 1,030.54 ", -   
11/4/1991," 1,030.10 "," 1,030.10 "," 1,030.10 "," 1,030.10 "," 1,029.84 ", -   
11/5/1991," 1,035.84 "," 1,035.84 "," 1,035.84 "," 1,035.84 "," 1,035.57 ", -   
11/6/1991," 1,041.25 "," 1,041.25 "," 1,041.25 "," 1,041.25 "," 1,040.98 ", -   
11/7/1991," 1,056.91 "," 1,056.91 "," 1,056.91 "," 1,056.91 "," 1,056.64 ", -   
11/8/1991," 1,083.73 "," 1,083.73 "," 1,083.73 "," 1,083.73 "," 1,083.45 ", -   
11/11/1991," 1,126.86 "," 1,126.86 "," 1,126.86 "," 1,126.86 "," 1,126.57 ", -   
11/12/1991," 1,110.86 "," 1,110.86 "," 1,110.86 "," 1,110.86 "," 1,110.57 ", -   
11/13/1991," 1,122.08 "," 1,122.08 "," 1,122.08 "," 1,122.08 "," 1,121.79 ", -   
11/14/1991," 1,139.76 "," 1,139.76 "," 1,139.76 "," 1,139.76 "," 1,139.47 ", -   
11/15/1991," 1,134.00 "," 1,134.00 "," 1,134.00 "," 1,134.00 "," 1,133.71 ", -   
11/18/1991," 1,101.17 "," 1,101.17 "," 1,101.17 "," 1,101.17 "," 1,100.89 ", -   
11/19/1991," 1,103.36 "," 1,103.36 "," 1,103.36 "," 1,103.36 "," 1,103.08 ", -   
11/20/1991," 1,098.12 "," 1,098.12 "," 1,098.12 "," 1,098.12 "," 1,097.84 ", -   
11/21/1991," 1,109.05 "," 1,109.05 "," 1,109.05 "," 1,109.05 "," 1,108.76 ", -   
11/22/1991," 1,109.52 "," 1,109.52 "," 1,109.52 "," 1,109.52 "," 1,109.23 ", -   
11/25/1991," 1,106.20 "," 1,106.20 "," 1,106.20 "," 1,106.20 "," 1,105.92 ", -   
11/26/1991," 1,092.06 "," 1,092.06 "," 1,092.06 "," 1,092.06 "," 1,091.78 ", -   
11/27/1991," 1,095.91 "," 1,095.91 "," 1,095.91 "," 1,095.91 "," 1,095.63 ", -   
11/28/1991," 1,094.12 "," 1,094.12 "," 1,094.12 "," 1,094.12 "," 1,093.84 ", -   
11/29/1991," 1,089.66 "," 1,089.66 "," 1,089.66 "," 1,089.66 "," 1,089.38 ", -   
12/2/1991," 1,097.50 "," 1,097.50 "," 1,097.50 "," 1,097.50 "," 1,097.22 ", -   
12/3/1991," 1,108.09 "," 1,108.09 "," 1,108.09 "," 1,108.09 "," 1,107.81 ", -   
12/4/1991," 1,107.42 "," 1,107.42 "," 1,107.42 "," 1,107.42 "," 1,107.14 ", -   
12/5/1991," 1,121.57 "," 1,121.57 "," 1,121.57 "," 1,121.57 "," 1,121.28 ", -   
